27-09-2016 13:52, admin, 90, 3
27-09-2016 13:53, admin, 90, 4
27-09-2016 13:53, admin, 90, 4
27-09-2016 13:53, admin, 0, 2
27-09-2016 13:54, admin, 0, 1
27-09-2016 13:57, admin, 0, 33
27-09-2016 13:57, admin, 0, 4
27-09-2016 14:02, admin, 100, 4
27-09-2016 14:03, admin, 0, 4
27-09-2016 14:04, admin, 0, 4
27-09-2016 14:04, admin, 0, 4
27-09-2016 14:04, admin, 0, 5
27-09-2016 14:04, admin, 0, 5
27-09-2016 14:05, admin, 0, 6
27-09-2016 14:05, admin, 0, 6
27-09-2016 14:06, admin, 0, 6
27-09-2016 14:07, admin, 0, 6
27-09-2016 14:07, admin, 0, 6
27-09-2016 14:07, admin, 0, 4
27-09-2016 14:07, admin, 100, 5
27-09-2016 14:08, admin, 100, 5
27-09-2016 14:08, admin, 100, 2
27-09-2016 14:08, admin, 100, 1
27-09-2016 14:08, admin, 100, 3
27-09-2016 14:09, admin, 100, 4
27-09-2016 14:10, admin, 100, 4
27-09-2016 14:10, admin, 100, 4
27-09-2016 14:10, admin, 0, 4
27-09-2016 14:10, admin, 0, 1
27-09-2016 14:15, admin, 10, 19
